,full_notation,energy,SCF_steps,magnetism,time_of_calculation
208,54_MOCOM_1_3,-68.411448, 44,0.93,22.86m
209,54_MOCOM_1_5,-68.417155, 36,1.00,18.60m
210,54_MOCOM_5_11,-68.254856, 38,1.05,20.05m
211,55_MOCOM_1_3,-68.402651, 38,1.00,20.22m
212,55_MOCOM_1_5,-68.469626, 43,0.92,23.12m
213,56_MOCOM_1_3,-68.369809, 52,1.00,27.21m
214,56_MOCOM_1_5,-68.457441, 34,1.00,27.36m
215,56_MOCOM_5_11,-68.516649, 44,1.06,22.74m
216,26_MO_3_4,-61.840374, 43,1.02,26.72m
217,27_MOCOM_3_8,-67.145020, 48,0.00,30.32m
218,28_MOCOM_1_3,-67.311398, 65,0.07,52.72m
219,29_MO_1_6,-62.059094, 49,1.03,31.34m
220,20_MOCOM_2_6,-67.146268, 42, -0.07,26.09m
221,18_MO_10_4,-63.147471, 53,1.00,33.91m
222,18_MO_1_2,-63.202858, 34,1.00,21.51m
223,20_MOCOM_5_11,-66.967862, 77,0.07,49.12m
224,23_MOCOM_3_9,-67.057860, 83, -0.06,49.51m
225,16_MOCOM_5_6,-68.107999, 35, -0.05,29.18m
226,17_MO_6_7,-62.931067, 52,1.00,34.35m
227,28_MO_5_6,-61.867488,127,1.02,80.39m
228,26_MOCOM_3_8,-67.035472,122,0.04,74.16m
229,27_MO_12_8,-62.050972, 48,1.01,31.09m
230,17_MOCOM_3_9,-68.410292, 52,0.02,41.46m
231,27_MO_1_2,-62.079909, 40,1.01,33.93m
232,28_MO_1_3,-62.088027, 54,1.01,34.93m
233,18_MO_1_4,-63.198975, 33,1.00,27.63m
234,17_MO_6_1,-62.913507,148,1.01,94.98m
235,31_MO_4_10,-61.920230,127,1.01,81.77m
236,24_MO_1_6,-61.992905, 44,1.02,37.03m
237,28_MO_6_5,-61.872490, 91,1.01,55.90m
238,30_MO_5_6,-61.875654,106,1.03,66.40m
239,25_MOCOM_1_3,-67.204984, 37, -0.09,24.68m
240,21_MO_4_9,-61.770977, 51,1.01,33.38m
241,29_MO_3_1,-61.864931,107,1.02,68.35m
242,16_MO_11_5,-62.898653, 92,1.00,60.61m
243,19_MO_1_5,-63.190214, 34,1.00,28.14m
244,18_MO_4_10,-62.985382, 42,1.00,35.58m
245,18_MO_4_1,-62.989393, 53,1.00,34.58m
246,21_MOCOM_2_8,-67.141732, 91, -0.06,57.06m
247,23_MO_3_8,-61.839310, 48,1.73,30.79m
248,26_MOCOM_11_12,-67.305778, 56, -0.10,36.46m
249,30_MO_1_2,-62.053674, 75,1.03,46.67m
250,23_MO_5_10,-61.841480, 53,0.98,33.72m
251,19_MO_5_11,-62.978342, 32,1.00,20.47m
252,25_MOCOM_3_8,-67.080398, 43, -0.06,28.45m
253,25_MO_7_2,-61.811705, 67,1.67,43.45m
254,21_MO_4_1,-61.780458, 42,1.02,27.31m
255,31_MOCOM_3_9,-67.285259, 34, -0.05,22.32m
256,19_MOCOM_4_5,-68.139289, 43,0.05,26.96m
257,21_MO_1_2,-61.974432, 78,1.00,48.08m
258,27_MO_3_8,-61.885803, 57,1.00,37.13m
259,31_MO_4_1,-61.924913, 76,1.01,48.86m
260,16_MOCOM_2_7,-68.298573, 35, -0.01,23.20m
261,17_MO_3_2,-62.937430, 77,1.00,47.18m
262,24_MOCOM_4_9,-67.299276, 43, -0.06,35.93m
263,27_MO_1_4,-62.072994, 54,1.01,34.51m
264,22_MO_10_9,-62.013529, 53,1.04,44.41m
265,29_MOCOM_3_4,-66.980533, 42, -0.00,35.58m
266,23_MO_9_8,-61.844070,113,0.97,69.28m
